date,type,value
2/11/18,lunch out,7.03
2/12/18,groceries,5.8
2/14/18,groceries,26.15
2/20/18,breakfast out,7.28
2/20/18,groceries,13.55
2/21/18,groceries,12.05
2/21/18,lunch out,10.75
2/22/18,groceries,12.96
2/22/18,lunch out,19.68
2/23/18,groceries,15
2/23/18,groceries,22.92
2/24/18,coffee,5.75
2/25/18,dinner out,14.7
2/27/18,breakfast out,9.52
2/27/18,groceries,9.76
2/27/18,lunch out,39
3/1/18,dinner out,25
3/1/18,groceries,33.58
3/3/18,dinner out,36
3/4/18,groceries,2.59
3/5/18,dinner out,41.57
3/6/18,groceries,34.91
3/9/18,groceries,50.04
3/9/18,groceries,7.5
3/9/18,snack out,8
3/10/18,groceries,41.38
3/11/18,groceries,29.03
3/12/18,lunch out,4
3/14/18,lunch out,5.32
3/14/18,lunch out,11.97
3/17/18,groceries,34.89
3/18/18,groceries,8
3/19/18,lunch out,6
3/23/18,groceries,28.91
3/24/18,groceries,17.73
3/24/18,groceries,8
3/25/18,groceries,11
3/29/18,groceries,16.41
3/30/18,lunch out,10.5
3/31/18,groceries,26.41
4/2/18,groceries,17.75
4/6/18,groceries,3.5
4/6/18,snack out,4.24
4/7/18,groceries,22.27
4/10/18,lunch out,14.14
4/11/18,lunch out,7
4/11/18,lunch out,13
4/12/18,lunch out,12
4/13/18,lunch out,13.04
4/17/18,breakfast out,4.34
4/17/18,groceries,37.37
4/19/18,lunch out,11.97
4/19/18,snack out,5.43
4/20/18,snack out,6
4/22/18,groceries,24.43
4/25/18,breakfast out,5.02
4/25/18,groceries,22.94
4/29/18,groceries,35.09
5/5/18,groceries,28.65
5/7/18,groceries,15.28
5/7/18,lunch out,12.51
5/8/18,lunch out,6.52
5/9/18,groceries,22.48
5/10/18,lunch out,11.42
5/10/18,snack out,4.34
5/11/18,snack out,4.34
5/12/18,groceries,21.45
5/12/18,groceries,3.49
5/12/18,lunch out,15.23
5/13/18,groceries,9.63
5/13/18,groceries,25.85
5/17/18,lunch out,7.61
5/18/18,lunch out,11.97
5/18/18,snack out,6.5
5/22/18,lunch out,10.87
5/22/18,snack out,4.34
5/23/18,groceries,34.87
5/23/18,lunch out,14.15
5/24/18,snack out,4.34
5/25/18,lunch out,8.91
5/25/18,snack out,4.34
5/27/18,groceries,15
5/28/18,groceries,9.23
5/28/18,groceries,70.73
5/29/18,snack out,4.34
5/30/18,lunch out,4.34
5/30/18,snack out,6
5/31/18,coffee,4.9
6/1/18,lunch out,13.05
6/2/18,dinner out,28.5
6/4/18,groceries,1.28
6/5/18,groceries,40
6/5/18,lunch out,30
6/5/18,snack out,1.98
6/9/18,snack out,3.79
6/10/18,groceries,22.35
6/11/18,groceries,12
6/12/18,dinner out,25
6/12/18,groceries,26
6/13/18,groceries,36.03
6/14/18,lunch out,20
6/15/18,groceries,29.58
6/20/18,groceries,87.85
6/20/18,groceries,40
6/26/18,groceries,136.1
6/28/18,groceries,70.73
7/2/18,groceries,4.57
7/3/18,snack out,1
7/4/18,groceries,14.83
7/4/18,groceries,12.5
7/4/18,groceries,14.95
7/5/18,snack out,21.77
7/6/18,groceries,12.08
7/6/18,groceries,12.92
7/7/18,groceries,21.94
7/8/18,groceries,0.96
7/8/18,lunch out,22.42
7/9/18,groceries,38.14
7/11/18,snack out,4.34
7/12/18,groceries,50.48
7/21/18,snack out,2.77
7/22/18,groceries,26.34
7/24/18,groceries,8.74
7/25/18,groceries,30.13
7/26/18,dinner out,65
7/29/18,breakfast out,15.05
7/30/18,lunch out,27.68
7/30/18,snack out,6
8/1/18,coffee,4.5
8/1/18,groceries,127.92
8/3/18,snack out,8.06
8/3/18,snack out,4
8/4/18,breakfast out,12.76
8/4/18,snack out,2.2
8/9/18,groceries,33.17
8/13/18,groceries,25.48
8/15/18,dinner out,8.98
8/16/18,dinner out,22.27
8/16/18,groceries,33.09
8/16/18,lunch out,19.47
8/16/18,snack out,5.43
8/19/18,breakfast out,22.34
8/20/18,groceries,9.84
8/20/18,groceries,9.84
8/20/18,groceries,13
8/20/18,lunch out,37.37
8/23/18,snack out,3.45
8/24/18,breakfast out,42.42
8/24/18,lunch out,9.14
8/25/18,groceries,28.41
8/25/18,groceries,2.5
8/26/18,groceries,21.53
8/29/18,groceries,7
8/30/18,groceries,22.07
8/31/18,groceries,8.97
9/3/18,groceries,11.15
9/5/18,groceries,44.35
9/11/18,groceries,7.99
9/11/18,lunch out,28
9/13/18,groceries,19.2
9/13/18,groceries,6.08
9/16/18,groceries,6.69
9/17/18,groceries,14.07
9/18/18,coffee,15.03
9/19/18,groceries,4
9/20/18,groceries,13.32
9/22/18,groceries,37.54
9/23/18,groceries,34.98
9/26/18,groceries,21.66
9/26/18,groceries,15.99
10/1/18,dinner out,20
10/1/18,groceries,17.94
10/3/18,dinner out,6.85
10/3/18,groceries,19.8
10/4/18,groceries,15.59
10/5/18,groceries,15.95
10/6/18,groceries,42.28
10/15/18,groceries,8.11
10/16/18,groceries,24.14
10/17/18,groceries,32.12
10/19/18,groceries,7.82
10/19/18,lunch out,6.51
10/20/18,groceries,32.35
10/24/18,groceries,17.05
10/24/18,snack out,15.51
10/26/18,snack out,10.79
10/29/18,groceries,60.65
10/29/18,groceries,22.74
11/1/18,groceries,12.25
11/2/18,groceries,43.71
11/5/18,groceries,15.73
11/7/18,groceries,20
11/10/18,dinner out,59.45
11/13/18,dinner out,15.51
11/14/18,groceries,7.99
11/15/18,lunch out,11
11/20/18,groceries,27.61
11/21/18,groceries,38.42
11/24/18,groceries,14.98
11/27/18,groceries,3.34
11/28/18,groceries,14.04
11/28/18,groceries,15.59
12/4/18,groceries,17.93
12/7/18,groceries,44
12/8/18,dinner out,13.01
12/8/18,groceries,8
12/8/18,groceries,6.99
12/9/18,groceries,17.21
12/11/18,groceries,9.87
12/13/18,lunch out,11.41
12/14/18,groceries,19.67
12/17/18,dinner out,14.07
12/18/18,groceries,10.86
12/19/18,dinner out,17.31
12/23/18,dinner out,20
12/24/18,groceries,10.77
12/26/18,dinner out,40
12/27/18,lunch out,15
12/28/18,snack out,5
12/29/18,dinner out,9.13
