date,type,value
11/20/14,groceries,22.66
11/21/14,groceries,32.4
11/25/14,groceries,39.21
11/26/14,groceries,26.33
11/27/14,groceries,37.3
11/29/14,groceries,20.56
11/30/14,groceries,6.4
12/1/14,lunch out,9
12/7/14,coffee,1.09
12/7/14,dinner out,11
12/8/14,groceries,35.52
12/8/14,groceries,35.52
12/9/14,groceries,16.66
12/13/14,groceries,15.67
12/14/14,groceries,25.08
12/21/14,dinner out,20
12/21/14,groceries,6
12/22/14,dinner out,5
12/22/14,lunch out,15
12/23/14,coffee,3
12/23/14,lunch out,12
12/24/14,coffee,3.35
12/29/14,dinner out,5
12/29/14,groceries,2.1
12/29/14,lunch out,7
12/30/14,groceries,30
12/30/14,groceries,9.38
12/31/14,groceries,10
1/1/15,dinner out,15
1/3/15,groceries,7.69
1/3/15,groceries,7
1/5/15,dinner out,23.65
1/5/15,lunch out,10.93
1/6/15,groceries,102.89
1/6/15,lunch out,13
1/7/15,groceries,12.87
1/8/15,groceries,17
1/9/15,groceries,24.13
1/11/15,dinner out,4.38
1/11/15,groceries,11.37
1/13/15,dinner out,23
1/14/15,dinner out,7
1/15/15,dinner out,17.5
1/16/15,dinner out,90
1/16/15,groceries,21.64
1/18/15,groceries,8.48
1/22/15,groceries,20
1/26/15,groceries,5.33
1/27/15,lunch out,12
1/28/15,groceries,2.5
1/31/15,groceries,9
2/2/15,groceries,46.5
2/2/15,groceries,1.99
2/3/15,groceries,6.98
2/5/15,lunch out,8
2/6/15,groceries,18
2/7/15,groceries,34.22
2/9/15,coffee,2.75
2/10/15,groceries,12.38
2/10/15,groceries,3.99
2/11/15,groceries,34.53
2/11/15,groceries,5.99
2/13/15,groceries,32.01
2/13/15,groceries,1.99
2/14/15,groceries,26.25
2/14/15,groceries,8.23
2/17/15,coffee,2.75
2/19/15,groceries,28.53
2/20/15,dinner out,20.5
2/22/15,groceries,7.59
2/23/15,groceries,9
2/25/15,groceries,15.8
2/27/15,groceries,30.63
2/28/15,dinner out,20
2/28/15,groceries,39.4
3/2/15,snack out,6.3
3/5/15,groceries,21.28
3/5/15,groceries,23
3/6/15,groceries,19.29
3/8/15,groceries,12.37
3/9/15,dinner out,15
3/10/15,dinner out,14
3/11/15,groceries,26.95
3/14/15,dinner out,15
3/14/15,groceries,35
3/15/15,groceries,12.03
3/16/15,groceries,14.45
3/20/15,dinner out,14
3/21/15,groceries,0.38
3/21/15,groceries,20.57
3/21/15,groceries,38
3/23/15,lunch out,9.67
3/27/15,groceries,12.66
3/27/15,groceries,36.17
3/28/15,groceries,4.98
3/28/15,groceries,31.85
3/28/15,groceries,13.03
3/28/15,groceries,21.43
3/28/15,groceries,20
3/28/15,groceries,4.5
4/4/15,groceries,17
4/4/15,groceries,29
4/5/15,groceries,9.97
4/7/15,groceries,26.06
4/11/15,groceries,19.22
4/11/15,groceries,4.18
4/12/15,groceries,19.06
4/13/15,groceries,14.29
4/16/15,dinner out,6
4/18/15,snack out,5
4/19/15,groceries,26.23
4/19/15,groceries,7.27
4/20/15,groceries,6.8
4/22/15,groceries,9.9
4/23/15,groceries,2
4/24/15,groceries,39.26
4/25/15,groceries,52.76
4/26/15,groceries,6.76
4/28/15,groceries,3
4/28/15,groceries,2.29
4/29/15,groceries,4.8
4/30/15,groceries,30.22
5/1/15,groceries,8
5/1/15,groceries,26.54
5/3/15,groceries,6.24
5/4/15,groceries,11
5/5/15,dinner out,7.5
5/6/15,groceries,6
5/6/15,groceries,22
5/8/15,groceries,17.21
5/9/15,groceries,24.63
5/13/15,groceries,6.57
5/15/15,groceries,4.07
5/16/15,groceries,21.97
5/17/15,dinner out,10
5/17/15,lunch out,17.53
5/23/15,dinner out,20
5/23/15,groceries,12.4
5/24/15,groceries,27.26
5/31/15,groceries,25.55
6/1/15,groceries,12.69
6/5/15,groceries,26.22
6/6/15,groceries,10.45
6/7/15,dinner out,25
6/8/15,lunch out,18
6/9/15,groceries,12.72
6/10/15,groceries,35
6/13/15,groceries,8.29
6/16/15,groceries,3
6/19/15,groceries,17.28
6/21/15,groceries,11.66
6/21/15,snack out,8
6/22/15,lunch out,15
6/24/15,groceries,23.52
6/24/15,groceries,1.99
6/26/15,lunch out,6.69
6/28/15,groceries,27.59
6/30/15,dinner out,20
7/1/15,groceries,30.29
7/3/15,snack out,6.3
7/4/15,groceries,25.2
7/5/15,groceries,13.8
7/7/15,groceries,25.53
7/8/15,groceries,16.32
7/9/15,groceries,32
7/11/15,groceries,6.46
7/11/15,groceries,4
7/11/15,groceries,2
7/13/15,groceries,36.11
7/14/15,groceries,2.89
7/17/15,groceries,29.89
7/19/15,groceries,10.66
7/20/15,dinner out,25
7/20/15,groceries,4
7/20/15,lunch out,8.62
7/22/15,groceries,3
7/22/15,groceries,16.67
7/22/15,groceries,9
7/23/15,groceries,21.44
7/23/15,groceries,31.47
7/25/15,groceries,3.3
7/25/15,groceries,9.96
7/25/15,groceries,9.96
7/30/15,groceries,8
7/31/15,groceries,7.37
8/3/15,groceries,24.64
8/8/15,groceries,22.93
8/10/15,dinner out,8
8/10/15,groceries,12.17
8/10/15,lunch out,4.75
8/12/15,groceries,16.35
8/12/15,groceries,17.59
8/14/15,groceries,20
8/14/15,groceries,8
8/18/15,groceries,11.5
8/19/15,groceries,13
8/19/15,groceries,18.79
8/23/15,groceries,11.76
8/26/15,groceries,15
8/26/15,dinner out,9
8/28/15,dinner out,33
8/29/15,groceries,14.94
9/1/15,groceries,13.5
9/1/15,groceries,11.17
9/6/15,groceries,20.65
9/7/15,dinner out,11.76
9/7/15,groceries,7
9/10/15,groceries,47
9/12/15,lunch out,8.3
9/14/15,groceries,22.03
9/14/15,groceries,34.51
9/15/15,groceries,13
9/16/15,groceries,43.69
9/18/15,groceries,2
9/19/15,groceries,23.24
9/21/15,groceries,2.29
9/22/15,groceries,10.36
9/23/15,dinner out,30
9/24/15,dinner out,12.52
9/24/15,groceries,2
9/25/15,groceries,2.76
9/25/15,groceries,5
9/25/15,groceries,7.28
9/26/15,groceries,32.07
9/29/15,groceries,2.99
9/29/15,groceries,9.86
9/29/15,groceries,4.68
9/29/15,groceries,6.4
9/30/15,groceries,34.34
10/1/15,groceries,2.3
10/4/15,groceries,2.34
10/6/15,groceries,9.67
10/8/15,groceries,31.51
10/13/15,groceries,8
10/13/15,groceries,2.5
10/14/15,groceries,9.67
10/15/15,groceries,15.92
10/18/15,dinner out,6.55
10/19/15,lunch out,9.67
10/21/15,groceries,11.04
10/21/15,groceries,51.07
10/27/15,groceries,28.41
10/29/15,groceries,21.03
10/29/15,groceries,4.89
10/30/15,groceries,18.06
11/1/15,groceries,30.05
11/2/15,groceries,7.28
11/3/15,groceries,19.48
11/3/15,groceries,27.47
11/3/15,lunch out,4.25
11/4/15,groceries,36.11
11/6/15,groceries,30.44
11/7/15,groceries,21.02
11/11/15,groceries,4.5
11/12/15,dinner out,3.62
11/14/15,groceries,19.81
11/15/15,groceries,24.97
11/18/15,groceries,16.5
11/19/15,groceries,18.55
11/21/15,groceries,38
11/22/15,groceries,9.67
11/25/15,groceries,45.43
11/27/15,groceries,14.87
11/28/15,dinner out,30
11/29/15,dinner out,35
11/30/15,dinner out,15
12/3/15,groceries,23.12
12/4/15,groceries,33.27
